date,open,high,low,close
2025-11-20,709.8,746.2,709.8,746.2
2025-11-21,698.9,699.9,695.5,698.2
2025-11-25,711.2,711.2,709.5,710.1
2025-11-26,718.0,718.0,714.0,716.3
2025-11-27,720.0,724.0,717.7,719.4
2025-11-28,725.0,745.0,720.4,721.4
2025-12-01,729.1,729.1,713.9,715.8
2025-12-02,715.8,717.3,715.8,716.8
2025-12-03,719.2,721.0,718.6,719.4
2025-12-04,718.9,720.5,718.5,719.9
2025-12-05,719.5,720.8,718.0,718.4
2025-12-08,721.9,722.7,720.3,722.7
2025-12-09,724.9,724.9,721.5,723.2
2025-12-10,725.3,725.7,724.3,725.6
2025-12-11,725.0,725.0,718.3,720.6
2025-12-12,728.0,728.0,725.0,727.0
2025-12-15,725.0,725.0,717.2,717.8
2025-12-16,721.4,721.4,709.4,710.2
2025-12-17,716.7,716.7,709.1,713.9
2025-12-18,709.0,710.0,707.0,710.0
2025-12-19,713.2,715.6,712.4,715.0
2025-12-22,729.7,730.0,728.0,729.0
2025-12-23,723.4,729.5,723.4,725.6
2025-12-24,728.0,730.1,726.7,727.0
2025-12-25,757.0,757.0,728.0,731.3
2025-12-26,746.3,746.3,731.7,732.6
2025-12-29,735.0,735.0,731.6,732.2
2025-12-30,734.6,734.6,728.5,728.8
2026-01-05,732.0,732.0,728.8,730.3
2026-01-06,731.2,731.9,730.0,731.5
2026-01-07,736.4,736.8,734.1,734.1
2026-01-08,734.8,735.7,730.9,730.9
2026-01-09,735.3,736.9,734.8,736.9
2026-01-13,745.2,750.3,745.2,750.3
2026-01-14,756.0,756.0,749.0,749.0
2026-01-15,748.6,748.6,741.8,742.8
2026-01-16,748.5,748.5,745.6,747.0
2026-01-19,741.4,741.4,733.2,735.8
2026-01-20,735.9,736.1,734.4,734.7
2026-01-21,732.9,732.9,728.2,730.7
2026-01-22,734.0,741.0,734.0,739.8
2026-01-23,742.5,744.4,741.3,743.6
2026-01-26,729.3,734.6,718.0,721.1
2026-01-27,726.0,729.2,724.9,729.2
2026-01-28,720.4,724.5,720.4,724.2
2026-01-29,735.0,735.0,721.0,724.4
2026-01-30,727.9,727.9,720.0,720.7
2026-02-02,733.6,733.6,717.4,717.5
2026-02-03,732.5,736.5,732.5,735.7
2026-02-04,735.5,735.5,729.9,732.6
2026-02-05,738.5,738.5,729.4,731.7
2026-02-06,723.6,723.6,714.3,721.7
2026-02-09,739.6,739.6,734.5,735.0
2026-02-10,740.0,740.0,731.0,732.6
2026-02-12,726.3,726.3,717.9,721.9
2026-02-13,714.7,714.7,706.3,707.7
2026-02-16,722.7,722.7,708.8,710.1
2026-02-17,715.8,715.8,704.1,704.5
2026-02-18,710.6,713.6,709.5,713.1
2026-02-19,721.2,723.9,713.5,723.9
2026-02-20,727.8,727.8,722.0,723.5
2026-02-24,723.5,723.5,717.7,720.0
2026-02-25,732.2,732.2,727.0,727.0
2026-02-26,735.0,735.0,732.2,733.0
2026-02-27,728.1,728.1,725.8,727.7
2026-03-02,728.5,728.5,721.0,724.4
2026-03-03,725.6,732.9,725.6,728.3
2026-03-04,727.6,728.3,722.8,723.2
2026-03-05,738.0,738.0,728.4,730.0
2026-03-06,731.6,732.6,729.5,731.6
2026-03-09,716.6,716.6,708.0,714.3
2026-03-10,724.4,725.2,723.4,724.8
2026-03-11,730.0,731.2,727.5,728.1
2026-03-12,732.0,732.0,722.9,724.5
2026-03-13,727.0,727.0,720.0,722.4
2026-03-16,722.4,722.4,719.1,720.7
2026-03-17,725.7,729.7,720.8,720.8
2026-03-18,723.5,726.8,723.3,726.0
2026-03-19,723.4,723.4,716.1,717.1
2026-03-23,706.3,706.3,700.0,700.6
2026-03-24,714.3,714.3,703.5,703.5
2026-03-25,710.9,712.6,710.0,711.3
2026-03-26,711.3,713.5,709.6,709.6
2026-03-27,706.8,706.8,702.5,706.1
2026-03-30,686.9,691.4,686.0,691.4
2026-03-31,690.0,694.1,685.0,691.9
2026-04-01,704.4,706.3,703.7,706.3
2026-04-02,711.3,711.3,701.8,702.4
2026-04-03,717.4,717.4,706.4,712.2
2026-04-06,720.0,720.0,710.4,712.2
2026-04-07,716.2,716.2,713.0,714.2
2026-04-08,724.5,729.2,724.5,729.2
2026-04-09,730.0,730.0,728.4,729.9
2026-04-10,734.8,737.3,734.8,737.1
2026-04-13,730.7,734.6,730.7,734.6
2026-04-14,749.6,749.6,742.8,742.8
2026-04-15,750.0,752.0,750.0,750.8
2026-04-16,754.5,759.1,754.5,759.1
2026-04-17,773.4,773.4,758.4,761.2
2026-04-20,763.9,764.4,761.8,762.3
2026-04-21,773.2,773.2,766.5,767.8
2026-04-22,770.7,770.7,766.3,766.3
2026-04-23,774.0,774.0,766.2,768.9
2026-04-24,771.7,772.1,769.5,770.7
2026-04-27,775.0,776.0,772.7,773.2
2026-04-28,777.2,777.9,773.1,773.8
2026-04-30,779.4,779.4,774.3,774.3
2026-05-01,775.6,775.6,769.8,771.1
2026-05-07,786.1,786.1,778.4,781.6
