date,open,high,low,close
2021-08-03,192.0,193.0,191.0,191.0
2021-08-04,190.0,192.0,189.0,191.0
2021-08-05,188.0,192.0,185.0,190.0
2021-08-06,189.0,189.0,187.0,188.0
2021-08-10,188.0,188.0,186.0,187.0
2021-08-11,189.0,189.0,188.0,188.0
2021-08-12,188.0,190.0,188.0,189.0
2021-08-13,188.0,188.0,186.0,186.0
2021-08-16,186.0,186.0,183.0,183.0
2021-08-17,184.0,184.0,180.0,181.0
2021-08-18,182.0,182.0,178.0,178.0
2021-08-19,177.0,178.0,172.0,177.0
2021-08-20,181.0,181.0,171.0,177.0
2021-08-23,177.0,180.0,176.0,178.0
2021-08-24,179.0,179.0,178.0,179.0
2021-08-25,184.0,188.0,184.0,186.0
2021-08-26,184.0,185.0,183.0,184.0
2021-08-27,184.0,184.0,181.0,183.0
2021-08-30,182.0,183.0,181.0,182.0
2021-08-31,182.0,183.0,181.0,182.0
2021-09-01,181.0,183.0,181.0,183.0
2021-09-02,183.0,183.0,182.0,183.0
2021-09-03,182.0,184.0,181.0,183.0
2021-09-06,186.0,186.0,184.0,184.0
2021-09-07,185.0,188.0,185.0,188.0
2021-09-08,188.0,190.0,188.0,190.0
2021-09-09,185.0,187.0,183.0,184.0
2021-09-10,184.0,186.0,182.0,185.0
2021-09-13,186.0,186.0,184.0,185.0
2021-09-14,186.0,187.0,183.0,185.0
2021-09-15,185.0,187.0,182.0,183.0
2021-09-16,183.0,183.0,182.0,183.0
2021-09-17,181.0,183.0,181.0,182.0
2021-09-21,179.0,182.0,176.0,182.0
2021-09-22,183.0,183.0,179.0,181.0
2021-09-24,183.0,183.0,181.0,183.0
2021-09-27,183.0,184.0,182.0,183.0
2021-09-28,182.0,184.0,182.0,184.0
2021-09-29,182.0,183.0,179.0,183.0
2021-09-30,180.0,182.0,180.0,182.0
2021-10-01,183.0,183.0,178.0,179.0
2021-10-04,182.0,182.0,178.0,178.0
2021-10-05,179.0,180.0,175.0,178.0
2021-10-06,178.0,180.0,178.0,178.0
2021-10-07,180.0,180.0,178.0,179.0
2021-10-08,180.0,182.0,179.0,180.0
2021-10-11,178.0,181.0,178.0,181.0
2021-10-12,178.0,180.0,178.0,180.0
2021-10-13,180.0,181.0,179.0,180.0
2021-10-14,180.0,181.0,179.0,179.0
2021-10-15,179.0,182.0,179.0,180.0
2021-10-18,183.0,183.0,182.0,183.0
2021-10-19,184.0,184.0,178.0,184.0
2021-10-20,180.0,182.0,180.0,182.0
2021-10-21,181.0,182.0,180.0,181.0
2021-10-22,178.0,181.0,177.0,181.0
2021-10-25,178.0,178.0,173.0,176.0
2021-10-26,178.0,179.0,177.0,177.0
2021-10-27,175.0,176.0,173.0,175.0
2021-10-28,174.0,174.0,173.0,174.0
2021-10-29,174.0,174.0,171.0,171.0
2021-11-01,171.0,172.0,169.0,169.0
2021-11-02,170.0,171.0,170.0,170.0
2021-11-04,174.0,174.0,170.0,172.0
2021-11-05,170.0,171.0,169.0,169.0
2021-11-08,171.0,172.0,170.0,170.0
2021-11-09,170.0,171.0,170.0,171.0
2021-11-10,172.0,172.0,170.0,171.0
2021-11-11,171.0,174.0,171.0,174.0
2021-11-12,175.0,176.0,174.0,174.0
