Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2023-09-06,3741,3340.0,3365.0,3335.0,3345.0,0,0,8200.0,27458000.0,1.0,1670.0,1682.5,1667.5,1672.5,16400.0
2023-09-07,3741,3360.0,3465.0,3340.0,3365.0,0,0,44900.0,152950000.0,1.0,1680.0,1732.5,1670.0,1682.5,89800.0
2023-09-08,3741,3370.0,3460.0,3370.0,3405.0,0,0,28600.0,97492500.0,1.0,1685.0,1730.0,1685.0,1702.5,57200.0
2023-09-11,3741,3430.0,3445.0,3335.0,3350.0,0,0,16700.0,56390500.0,1.0,1715.0,1722.5,1667.5,1675.0,33400.0
2023-09-12,3741,3325.0,3355.0,3280.0,3325.0,0,0,15100.0,50008500.0,1.0,1662.5,1677.5,1640.0,1662.5,30200.0
2023-09-13,3741,3315.0,3365.0,3300.0,3360.0,0,0,13500.0,45083000.0,1.0,1657.5,1682.5,1650.0,1680.0,27000.0
2023-09-14,3741,3390.0,3440.0,3370.0,3400.0,0,0,15700.0,53467500.0,1.0,1695.0,1720.0,1685.0,1700.0,31400.0
2023-09-15,3741,3440.0,3440.0,3385.0,3415.0,0,0,8500.0,28943500.0,1.0,1720.0,1720.0,1692.5,1707.5,17000.0
2023-09-19,3741,3445.0,3520.0,3435.0,3490.0,0,0,31200.0,108558500.0,1.0,1722.5,1760.0,1717.5,1745.0,62400.0
2023-09-20,3741,3460.0,3460.0,3395.0,3395.0,0,0,22100.0,75377000.0,1.0,1730.0,1730.0,1697.5,1697.5,44200.0
2023-09-21,3741,3410.0,3410.0,3365.0,3365.0,0,0,10600.0,35868000.0,1.0,1705.0,1705.0,1682.5,1682.5,21200.0
2023-09-22,3741,3340.0,3430.0,3325.0,3415.0,0,0,18300.0,62169000.0,1.0,1670.0,1715.0,1662.5,1707.5,36600.0
2023-09-25,3741,3460.0,3595.0,3445.0,3595.0,0,0,44100.0,156458000.0,1.0,1730.0,1797.5,1722.5,1797.5,88200.0
2023-09-26,3741,3595.0,3635.0,3540.0,3570.0,0,0,20300.0,72644000.0,1.0,1797.5,1817.5,1770.0,1785.0,40600.0
2023-09-27,3741,3530.0,3605.0,3500.0,3605.0,0,0,13300.0,47325500.0,1.0,1765.0,1802.5,1750.0,1802.5,26600.0
2023-09-28,3741,3600.0,3645.0,3535.0,3565.0,0,0,19700.0,70924000.0,1.0,1800.0,1822.5,1767.5,1782.5,39400.0
2023-09-29,3741,3560.0,3560.0,3480.0,3490.0,0,0,12500.0,43831500.0,1.0,1780.0,1780.0,1740.0,1745.0,25000.0
2023-10-02,3741,3510.0,3600.0,3510.0,3545.0,0,0,14800.0,52631000.0,1.0,1755.0,1800.0,1755.0,1772.5,29600.0
2023-10-03,3741,3560.0,3560.0,3440.0,3445.0,0,0,10500.0,36451500.0,1.0,1780.0,1780.0,1720.0,1722.5,21000.0
2023-10-04,3741,3345.0,3420.0,3325.0,3335.0,0,0,29400.0,98814000.0,1.0,1672.5,1710.0,1662.5,1667.5,58800.0
2023-10-05,3741,3405.0,3525.0,3400.0,3485.0,0,0,28800.0,100314000.0,1.0,1702.5,1762.5,1700.0,1742.5,57600.0
2023-10-06,3741,3540.0,3590.0,3510.0,3560.0,0,0,18700.0,66537000.0,1.0,1770.0,1795.0,1755.0,1780.0,37400.0
2023-10-10,3741,3595.0,3625.0,3570.0,3620.0,0,0,19000.0,68390000.0,1.0,1797.5,1812.5,1785.0,1810.0,38000.0
2023-10-11,3741,3650.0,3740.0,3640.0,3640.0,0,0,53700.0,197609000.0,1.0,1825.0,1870.0,1820.0,1820.0,107400.0
2023-10-12,3741,3645.0,3750.0,3610.0,3745.0,0,0,30900.0,114688500.0,1.0,1822.5,1875.0,1805.0,1872.5,61800.0
2023-10-13,3741,3725.0,3725.0,3605.0,3610.0,0,0,30200.0,110453500.0,1.0,1862.5,1862.5,1802.5,1805.0,60400.0
2023-10-16,3741,3550.0,3590.0,3515.0,3580.0,0,0,14100.0,50153000.0,1.0,1775.0,1795.0,1757.5,1790.0,28200.0
2023-10-17,3741,3615.0,3670.0,3585.0,3605.0,0,0,23200.0,83899500.0,1.0,1807.5,1835.0,1792.5,1802.5,46400.0
2023-10-18,3741,3620.0,3745.0,3620.0,3705.0,0,0,34000.0,125965000.0,1.0,1810.0,1872.5,1810.0,1852.5,68000.0
2023-10-19,3741,3650.0,3725.0,3625.0,3630.0,0,0,24500.0,89752000.0,1.0,1825.0,1862.5,1812.5,1815.0,49000.0
2023-10-20,3741,3625.0,3650.0,3595.0,3635.0,0,0,12400.0,44975500.0,1.0,1812.5,1825.0,1797.5,1817.5,24800.0
2023-10-23,3741,3600.0,3610.0,3480.0,3490.0,0,0,33600.0,118733000.0,1.0,1800.0,1805.0,1740.0,1745.0,67200.0
2023-10-24,3741,3515.0,3545.0,3390.0,3540.0,0,0,23200.0,80627000.0,1.0,1757.5,1772.5,1695.0,1770.0,46400.0
2023-10-25,3741,3575.0,3595.0,3545.0,3570.0,0,0,10500.0,37471000.0,1.0,1787.5,1797.5,1772.5,1785.0,21000.0
